地域区分ID, 地域区分名, 登録日, 修正日
id, name, create_on, modify_on
4206,宮城県白石市,2016-02-13 10:00:00,2016-02-13 10:00:00
4207,宮城県名取市,2016-02-13 10:00:00,2016-02-13 10:00:00
4208,宮城県角田市,2016-02-13 10:00:00,2016-02-13 10:00:00
4209,宮城県多賀城市,2016-02-13 10:00:00,2016-02-13 10:00:00
4211,宮城県岩沼市,2016-02-13 10:00:00,2016-02-13 10:00:00
4212,宮城県登米市,2016-02-13 10:00:00,2016-02-13 10:00:00
4213,宮城県栗原市,2016-02-13 10:00:00,2016-02-13 10:00:00
4214,宮城県東松島市,2016-02-13 10:00:00,2016-02-13 10:00:00
4215,宮城県大崎市,2016-02-13 10:00:00,2016-02-13 10:00:00
4300,宮城県刈田郡,2016-02-13 10:00:00,2016-02-13 10:00:00
4301,宮城県刈田郡蔵王町,2016-02-13 10:00:00,2016-02-13 10:00:00
4302,宮城県刈田郡七ヶ宿町,2016-02-13 10:00:00,2016-02-13 10:00:00
4320,宮城県柴田郡,2016-02-13 10:00:00,2016-02-13 10:00:00
4321,宮城県柴田郡大河原町,2016-02-13 10:00:00,2016-02-13 10:00:00
4322,宮城県柴田郡村田町,2016-02-13 10:00:00,2016-02-13 10:00:00
